"data_size","cache_size","hit","miss"
676427,11419,5398475,1522
408601,83023,3121651,64134
229248,35052,1780761,18171
101472,31,727426,84319
494612,22,3956843,31
887595,296826,6762744,41190
706604,137984,5380229,134619
124681,6006,948471,42971
712044,120531,5443241,132580
395202,36720,3069939,54957
20356,4393,153926,4529
473732,4,3326580,463272
563533,2220,4491142,14902
149674,6032,1188275,3085
19038,3128,146654,2522
329267,9314,2538305,86517
112911,3031,877107,23150
151904,2401,1175543,37288
817631,169734,6351577,19737
435507,30,3484002,24
580052,21960,4505959,112497
422830,183665,3174796,24179
582127,1687,4442395,212934
459779,80914,3571675,25643
125626,10,1003757,1241
698692,12491,5569925,7120
163741,47676,1219721,42531
928931,89790,7206007,135651
489220,108367,3800365,5028
425980,63946,3306603,37291
57377,5,449334,9677
383798,6038,3057446,6900
284931,7114,2188521,83813
345384,18275,2626740,118057
448822,66566,3475431,48579
418811,318995,2931677,99816
81538,1112,650365,827
935568,88380,7153986,242178
66032,16432,499522,12302
760054,5297,6065937,9198
165346,17358,1280327,25083
213339,12,1706666,34
473069,9348,3769601,5603
641407,199584,4900554,31118
216365,39822,1677562,13536
920445,48373,7014037,301150
901058,204062,6993673,10729
949749,144644,7373632,79716
406218,69734,3155559,24451
875095,92625,6797963,110172
67317,388,501481,36667
610921,29244,4736229,121895
125547,39828,961328,3220
851190,64365,6391132,354023
60830,14022,468463,4155
113010,17512,869197,17371
582632,24,4144621,516411
522043,2010,4159772,14562
537914,162665,4065268,75379
149207,29574,1153021,11061
89467,11930,674230,29576
557895,15119,4224697,223344
48036,9375,363817,11096
337067,7,2676710,19819
679494,26,5435851,75
813340,178946,6314913,12861
812305,2979,6464334,31127
816721,81755,6311052,140961
542852,725,4332349,9742
833360,76887,6360057,229936
575773,228529,4363588,14067
375302,71559,2868859,61998
478819,114718,3707044,8790
345569,4077,2625748,134727
342698,77,2552838,188669
250431,17481,1939383,46584
168643,2769,1307312,39063
90980,17556,706694,3590
258719,18683,1983474,67595
986506,67598,7515523,308927
555052,172636,4238877,28903
470484,29495,3654796,79581
923835,18111,7131019,241550
168413,5290,1342006,8
603626,223,4828768,17
891688,53236,6926850,153418
714487,50031,5509673,156192
888260,18340,7087232,508
648009,25028,5033861,125183
911604,9168,7270945,12719
430124,52534,3341225,47233
820689,86727,6375355,103430
17762,1152,137733,3211
795929,55483,6176990,134959
285053,55976,2177075,47373
250210,25139,1927823,48718
628731,17317,4878142,134389
793106,14196,6321353,9299
489518,111729,3796677,7738
211610,37552,1643722,11606
132466,30,947588,112110
645833,300689,4653997,211978
195541,34399,1517819,12110
556901,2323,4442301,10584
39109,5057,293072,14743
114197,16984,853749,42843
610657,212768,4652448,20040
179472,24192,1390228,21356
846483,146765,6378635,246464
765091,273850,5742252,104626
861682,184419,6693763,15274
273422,46500,2114419,26457
220705,67205,1693548,4887
490645,123766,3747643,53751
935433,105416,7256535,121513
321690,23513,2498999,51008
200565,4258,1542888,57374
511425,117108,3972853,1439
476863,71,3535732,279101
263150,82324,1990165,32711
167539,2573,1336813,926
195225,7,1369534,192259
71620,17555,548433,6972
47436,3659,367451,8378
754379,2400,5843249,189383
872666,77811,6638317,265200
856264,34015,6814763,1334
589492,202573,4197131,316232
64198,2,449386,64196
542355,4,4216829,122007
693116,132,5464593,80203
156242,42263,1171847,35826
217927,59,1615611,127746
390444,15578,2993653,114321
467156,76165,3564082,97001
375942,13844,2860687,133005
974313,42145,7562780,189579
977012,133453,7457588,225055
389119,12719,3099581,652
898750,8795,6823812,357393
526732,12487,4198581,2788
897215,125881,6849623,202216
344792,7616,2616812,133908
349313,16,2794465,23
154977,4887,1172039,62890
448189,53,3585447,12
100537,14340,750065,39891
647273,292691,4622311,263182
133936,7406,1019685,44397
78392,12340,608951,5845
175017,46618,1353493,25
330912,5518,2640765,1013
578531,165148,4413596,49504
546038,222589,4139146,6569
982150,6516,7409759,440925
157174,27,1119881,137484
958776,23700,7642577,3931
323307,95360,2453708,37388
789991,8371,6295866,15691
224083,111,1737173,55380
982214,254180,7370562,232970
100827,9310,778105,19201
962251,182344,7270885,244779
172061,26968,1326226,23294
865626,44457,6586198,294353
663294,23177,5050054,233121
465724,5154,3615135,105503
774439,198287,5984071,13154
994960,112,7761655,197913
645355,5152,5125356,32332
242253,18439,1882160,37425
409836,5610,3114617,158461
979709,17322,7809232,11118
946084,6399,7550723,11550
619674,121633,4721155,114604
228286,2221,1821631,2436
493349,155973,3777560,13259
371099,38,2968746,8
678121,213271,5174366,37331
277344,10554,2154473,53725
89797,1278,697499,19599
263383,157,2097735,9172
713717,203657,5461471,44608
790299,205392,6091927,25073
676581,32481,5155268,224899
842936,181648,6543213,18627
604172,43,4369507,463826
136218,30809,1058101,834
341118,3,2391407,337534
782968,66,5830282,433396
712377,207699,5346037,145280
229132,14421,1779949,38686
797936,5253,6059083,319152
867081,164612,6730669,41367
314688,18530,2444173,54801
954944,194747,7386131,58674
408601,82459,3160014,26335
285864,39209,2215864,31839
144889,6,1148287,10819
812031,25212,6289611,181425
387405,136383,2955609,7248
589650,3,4474642,242555
180578,14503,1382491,47630
457171,89,3465255,192024
160455,28,1283607,5
469448,62324,3584075,109185
585903,66555,4470484,150185
751531,138293,5717946,156009
405948,1129,3233850,12605
268357,59136,2044283,43437
995651,158242,7595019,211947
413223,8027,3137269,160488
951286,2252,7580162,27874
306662,6107,2443040,4149
691925,188476,5270965,75959
22874,215,171102,11675
315894,35,2527108,9
280536,17,2244248,23
722877,155859,5520516,106641
338315,9703,2695050,1767
866818,16784,6727654,190106
57616,673,458556,1699
169577,21985,1317282,17349
374546,82825,2903499,10044
970310,288876,7382545,91059
228176,63581,1741922,19905
491556,36658,3812530,83260
683531,52644,5303833,111771
818719,172628,6360075,17049
935544,35715,7426504,22133
401501,1,2912083,299924
54653,1715,434828,681
402294,36539,3116788,65025
790015,27236,6131056,161828
336401,38345,2549209,103654
480544,9990,3829430,4932
366536,126590,2802284,3414
598943,32550,4649200,109794
697975,92736,5299070,191994
735696,123914,5603268,158386
787557,94685,6078491,127280
880720,260852,6720417,64491
950430,228413,7086905,288122
964894,69903,7489573,159676
861812,254805,6549311,90380
773042,48394,5878802,257140
127319,29590,972193,16769
797842,50,6382666,20
345281,126,2718300,43822
580312,95557,4507921,39018
677443,141651,5075158,202735
994634,22920,7821506,112646
182076,30228,1372783,53597
462304,18,3698363,51
865192,26,6921452,58
645269,50,5162095,7
153775,10404,1194498,25298
441487,31581,3420163,80152
865688,40661,6718898,165945
564836,9446,4304692,204550
434340,11486,3460799,2435
691765,23162,5257970,252988
837002,372337,6240220,83459
925607,13414,7115466,275976
164101,40678,1242867,29263
502854,115243,3826165,81424
200212,174,1601446,76
299919,34,2147930,251388
40182,8769,303020,9667
323457,7165,2484503,95988
498300,65,3986314,21
891493,60338,6822358,249248
408737,32691,3111636,125569
99197,7,788189,5380
972939,26998,7614737,141777
527312,32,4218442,22
696674,36,5573297,59
596232,13198,4537232,219426
207901,31059,1631208,941
997325,530172,7440026,8402
201135,3072,1604957,1051
69347,6456,520625,27695
482396,33,3859093,42
585714,55448,4454129,176135
417454,5854,3178965,154813
83113,5982,640584,18338
440974,56946,3359844,111002
395561,77229,3071407,15852
452692,151748,3467034,2754
138084,32542,1061780,10350
718992,96314,5575054,80568
830035,50,6069587,570643
663374,22255,5158768,125969
265606,200,2124529,119
238896,8157,1902642,369
201648,59947,1411536,141701
864376,1863,6476015,437130
377229,4509,3005940,7383
563384,44340,4376435,86297
559764,60,4478014,38
344934,9087,2641031,109354
20484,1885,158041,3946
274079,88870,2095922,7840
624409,132634,4770799,91839
166471,28546,1265164,38058
998637,187385,7622821,178890
573187,79450,4424853,81193
849943,18727,6773009,7808
501564,35767,3896224,80521
135876,15470,1055478,16060
469405,373434,3316611,65195
588289,36,4216628,489648
356597,75375,2496179,281222
774737,105,6197784,7
78177,5444,598373,21599
481619,8911,3838478,5563
345267,91384,2575964,94788
684762,95642,5309463,72991
337600,65094,2616532,19174
459009,85585,3565660,20827
27277,1417,216775,24
51711,3,392320,21365
506766,17810,3900653,135665
257016,47575,1996510,12043
229799,32710,1759568,46114
913431,56,7307368,24
547835,167488,4184244,30948
517256,19906,4046229,71913
297938,74192,2300483,8829
779034,22051,5932376,277845
24579,1,177441,19190
959643,320673,7341726,14745
222395,29422,1671994,77744
395221,93891,3021629,46248
427967,3757,3411343,8636
982336,46,7143895,714747
909653,372480,6869155,35589
858012,170963,6526322,166811
99867,22827,775117,992
464573,26212,3663716,26656
379727,41175,2996200,441
999923,281020,7598797,119567
186970,38,1342848,152874
404960,16985,3145778,76917
142177,27995,1103371,6050
148004,6,1172792,11234
557754,19418,4245673,196941
560844,28951,4281618,176183
162411,2735,1292443,4110
88362,7872,683079,15945
203115,2203,1618863,3854
382600,26973,2926145,107682
701494,82110,5336468,193374
628871,117716,4787693,125559
33875,4920,262857,3223
671253,14735,5170728,184561
794279,95617,6012059,246556
299376,8,2385537,9463
798629,137,6298325,90570
400071,42165,3071934,86469
525798,145669,4002389,58326
101563,34802,775223,2479
814981,9374,6136753,373721
548887,34539,4255843,100714
340566,34324,2673920,16284
370522,73305,2836152,54719
788692,123615,6126740,59181
406451,33,2911484,340091
491862,77692,3736780,120424
605728,644,4815097,30083
82895,4040,629938,29182
803159,58255,6121833,245184
890836,14566,6767618,344504
33706,591,249602,19455
532734,5773,4092093,164006
331318,96442,2525291,28811
406388,35,3251044,25
490789,125044,3737279,63989
413942,70738,3087186,153612
857386,1701,6454834,402553
146081,11422,1134692,22534
611479,174726,4561537,155569
66395,651,528432,2077
799257,124,6269057,124875
670567,65,5012468,352003
946441,17904,7542203,11421
811668,19,5744639,748686
297932,27623,2346367,9466
302514,4851,2412370,2891
901933,97,6815205,400162
541480,190962,4086231,54647
872390,196665,6776990,5465
769865,158207,5956711,44002
649942,98835,4915633,185068
885599,354703,6654639,75450
626961,31821,4812311,171556
458326,124283,3532855,9470
502225,6,3979696,38098
126474,20096,980090,11606
95093,10048,732573,18123
805420,279992,6134551,28817
336580,88568,2556379,47693
875405,229813,6647645,125782
459710,140824,3511140,25716
548239,36,4028143,357733
99173,615,766105,26664
608667,98,4645620,223618
94689,28834,719644,9034
975257,216539,7576053,9464
407218,16443,3111391,129910
670403,212194,5028301,122729
790113,196,6313346,7362
705197,62,5641481,33
542227,106426,4206094,25296
568388,9355,4530337,7412
243338,53615,1890291,2798
885248,169606,6876857,35521
690799,9266,5325955,191171
136000,46414,1011182,30404
259337,56446,2014521,3729
328032,8311,2540774,75171
576046,162,4595418,12788
213525,18193,1658679,31328
500493,5221,3994269,4454
471508,38,3771995,31
81366,14413,632026,4489
510937,49803,3963037,74656
817811,26800,6457474,58214
252872,159482,1770104,93390
963249,159,7676904,28929
324132,59653,2517836,15567
231830,63178,1730194,61268
884482,22368,6904808,148680
623063,112839,4755743,115922
666450,24393,5241853,65354
668934,117882,5196466,37124
846048,177285,6449854,141245
170511,15130,1294197,54761
306005,18285,2377065,52690
425442,9353,3304917,89266
896358,40,7170788,36
732139,101892,5571800,183420
20864,32,149307,17573
444784,73,3328228,229971
401094,82414,3057956,68382
432036,153583,3300094,2611
957229,79,7657718,35
640400,92424,4974799,55977
146280,10242,1114028,45970
677689,58579,5258427,104506
269952,16694,2072600,70322
925700,68,6858917,546615
439742,47914,3415987,54035
425012,81191,3301607,17298
471400,28397,3640362,102441
354610,83396,2710002,43482
483323,20,3422303,444261
625819,6343,4985450,14759
352447,25288,2722445,71843
351673,7232,2802152,4000
944426,21417,7525954,8037
540888,134605,4182541,9958
811932,4710,6082086,408660
101695,130,802852,10578
909486,29328,7215396,31164
556732,14,4453784,58
969415,2659,7723712,28949
122436,7,974585,4896
752370,17053,5833609,168298
33022,10,263937,229
799940,245186,6087126,67208
67900,15698,526974,528
37240,6,295506,2408
327619,152,2608172,12628
148907,46239,1133043,11974
673665,97275,5229255,62790
295119,8568,2239167,113217
217669,40195,1660148,41009
785564,22,5559578,724912
35651,6581,266567,12060
163632,18604,1264431,26021
827054,203804,6274883,137745
92524,3971,713057,23164
369392,75053,2836195,43888
26695,5915,205265,2380
57086,16625,438775,1288
635552,104363,4851666,128387
460282,272993,3399594,9669
609635,13528,4861887,1665
679074,9048,5182597,240947
345756,167,2760876,5005
675443,15,5403479,50
597329,20413,4602801,155418
595119,136037,4535478,89437
119046,14617,923946,13805
578771,8,4071888,558272
756130,127884,5839531,81625
430921,12,3447266,90
977327,221473,7592125,5018
680479,14593,5168924,260315
727508,155490,5533478,131096
329520,70484,2559810,5866
71851,37910,536270,628
281849,34108,2189455,31229
910601,22710,7256476,5622
975926,36288,7575215,195905
659674,37008,5118480,121904
223112,6588,1720894,57414
528908,78884,4049017,103363
101049,7681,777794,22917
579646,51382,4502772,83014
616258,217120,4659788,53156
513318,99868,3987567,19109
731417,115,5735282,115939
182871,3205,1455051,4712
994715,52590,7727203,177927
30962,12423,230617,4656
409048,4655,3106656,161073
638348,230554,4867688,8542
595657,15904,4522311,227041
851182,205461,6584335,19660
138596,21907,1051538,35323
330209,29515,2608439,3718
458667,146,3636473,32717
266094,5248,2112601,10903
399460,7712,3182925,5043
18707,3325,145237,1094
201193,19,1609518,7
476068,26,3383254,425264
899317,66668,6875981,251887
707522,514484,5107506,38186
251239,8442,1924787,76683
509008,90869,3929684,51511
769562,201,6155013,1282
283369,160882,2078733,27337
209369,16,1674926,10
296310,37,2370435,8
57594,2015,434041,24696
850464,21962,6589541,192209
430294,103222,3336586,2544
891332,47612,6788390,294654
530177,130255,3982149,129012
301284,69544,2297713,43015
880996,229910,6705465,112593
167387,60757,1261264,17075
840473,23,5883311,840450
94149,6,745993,7193
863133,21254,6790126,93684
252881,32278,1953133,37637
312727,84254,2385936,31626
643324,48077,4991501,107014
10783,6,85492,766
474142,14,3793075,47
917428,193532,7120698,25194
864570,22748,6529945,363867
101103,8,804463,4353
834327,136,6594679,79801
934595,17935,7146873,311952
79769,22585,615359,208
889425,5278,7089811,20311
86878,1738,692573,713
16943,177,134632,735
783180,271993,5988874,4573
271804,83325,2085990,5117
203873,21,1630959,4
810332,201754,6225502,55400
721760,116394,5489780,167906
371624,41598,2816894,114500
400807,2544,3194835,9077
75132,18094,572166,10796
561559,203446,4248347,40679
71576,2690,547750,22168
400466,52701,3103753,47274
23124,3560,176494,4938
333503,67,2468440,199517
437406,454,3481159,17635
482956,30854,3790082,42712
236021,14400,1833388,40380
735610,172908,5704474,7498
574278,136041,4371243,86940
977972,163560,7448571,211645
286696,49560,2227055,16953
562516,3593,4484056,12479
481048,148258,3648131,51995
482946,24440,3670513,168615
727523,142703,5546303,131178
90809,1198,722889,2385
165646,24314,1294662,6192
883071,2,6558145,506421
532077,81036,4086638,88942
506754,165252,3853832,34948
794801,107574,6085955,164879
770370,176496,5746547,239917
315800,2637,2507791,15972
698321,1969,5566519,18080
148615,1619,1182136,5165
984043,173733,7488287,210324
107423,39282,813567,6535
39912,3306,300286,15704
982840,89,7862598,33
856319,180943,6522850,146759
805396,116127,6250544,76497
541215,9115,4318804,1801
269201,77915,2045824,29869
168792,133,1334281,15922
35182,8427,270210,2819
815015,55325,6320331,144464
121513,16784,943819,11501
712083,45984,5531629,119051
579043,187667,4425957,18720
969840,183572,7517179,57969
616071,64,4928485,19
937039,12,6611111,885189
207393,46159,1566367,46618
118333,57,940633,5974
858883,130457,6672052,68555
673316,15750,5369578,1200
376507,94660,2855054,62342
237083,66362,1808018,22284
623218,128276,4758277,99191
478376,191745,3632120,3143
480207,1961,3667877,171818
525160,136621,3998840,65819
593781,36103,4502376,211769
709961,128468,5382531,168689
516894,34870,4015320,84962
890449,164618,6907358,51616
515186,19248,3917109,185131
238526,28059,1852861,27288
478205,20,3825576,44
415855,12554,3179173,135113
668231,44270,5179245,122333
820024,36276,6485243,38673
515981,11322,3935792,180734
217817,66928,1658409,17199
775400,82482,5914915,205803
362803,4634,2883197,14593
780818,21,6246475,48
319340,54051,2480633,20036
767150,12,6137064,124
572730,10413,4569411,2016
782687,106501,6074090,80905
668472,134735,5102067,110974
49790,565,396270,1485
533327,70046,4060176,136394
247438,14022,1907401,58081
545052,200744,4138710,20962
189349,16253,1451248,47291
179967,35139,1373243,31354
557363,108756,4302916,47232
659476,20,5275748,40
955702,1600,7615561,28455
472300,21255,3615303,141842
107506,27437,804145,28466
25373,5003,197047,934
994323,252536,7566820,135228
456175,39804,3488217,121379
998475,146520,7744635,96645
692830,58713,5343135,140792
661565,113891,5067235,111394
471839,32654,3600818,141240
145473,20,1163762,2
391778,52,2900733,233439
588557,183631,4479623,45202
195747,8,1557901,8067
98638,13,789088,3
438174,166743,3283534,55115
807880,654518,5655160,153362
432719,15950,3271784,174018
214461,19726,1665930,30032
561272,99418,4254729,136029
258912,31106,2018835,21355
590831,10180,4589694,126774
786069,37630,6001298,249624
942686,51227,7317006,173255
867077,6022,6919654,10940
219750,3321,1753534,1145
161265,24326,1232205,33589
307833,43064,2391202,28398
559668,163,4465372,11809
520520,7,4133569,30584
829938,34389,6604957,158
718517,101692,5470545,175899
284407,34479,2209275,31502
217084,36634,1640810,59228
779382,161672,5869236,204148
247810,6122,1920279,56079
160182,124,1256988,24344
966509,306340,7361535,64197
672248,105085,5129941,142958
833588,297996,6350350,20358
252650,60164,1944399,16637
941835,38340,7316439,179901
239997,4125,1816222,99629
466506,125934,3572870,33244
665157,123097,5147644,50515
420089,28,3360670,14
819127,161930,6357198,33888
667024,70720,5181611,83861
801074,3593,6362918,42081
524411,27783,4133291,34214
318247,123516,2380095,42365
855191,101,6517460,323967
178970,43958,1364482,23320
556644,18721,4298119,136312
885028,107136,6674034,299054
547709,49167,4235851,96654
15213,1965,117990,1749
617241,17405,4918638,1885
271587,36409,2131547,4740
211222,34480,1598005,57291
295665,7989,2354004,3327
774002,12235,6167623,12158
673744,158,5365949,23845
973210,24521,7419908,341251
328440,27873,2524717,74930
567173,101188,4399922,36274
486277,168,3883159,6889
488197,167295,3735126,3155
356987,93951,2722167,39778
146351,2161,1167219,1428
945202,45366,7166871,349379
421768,64361,3270339,39444
437463,880,3497649,1175
230087,35289,1787349,18058
929770,38504,7382493,17163
801003,53215,6210370,144439
953082,175751,7245330,203575
816752,36351,6334027,163638
674485,180603,5129896,85381
824415,137,6517126,78057
516949,14415,4119718,1459
199856,52867,1523170,22811
973581,131098,7419330,238220
822563,60204,6260360,259940
806646,227346,6152562,73260
642626,6297,4949797,184914
227540,7,1808980,11333
456912,23925,3592194,39177
810541,258620,6165634,60074
328504,1,2369572,258459
442697,106438,3387763,47375
952588,75,7620587,42
609428,62477,4656376,156571
625126,215233,4785701,74
73292,30117,555313,906
726125,168701,5597155,43144
582258,6,4210613,447445
243363,78,1813738,133088
985794,83744,7503382,299226
432319,40334,3358334,59884
316694,4,2462661,70887
432588,8076,3446450,6178
733752,30,5869953,33
558090,827,4441351,22542
826503,215994,6308350,87680
660594,115057,5109575,60120
788255,42,6305937,61
45370,14,362945,1
59961,8316,454273,17099
973058,175899,7404641,203924
627705,85255,4869865,66520
581700,56653,4427935,169012
920876,137135,7033975,195898
941073,80972,7191481,256131
372998,28762,2880667,74555
992483,33018,7905958,888
772295,10904,5895591,271865
928086,15126,7405875,3687
688952,5576,5497687,8353
271546,1032,2166460,4876
439305,3272,3487571,23597
473405,30,3787173,37
491535,77308,3818335,36637
901135,81676,6847194,280210
313332,2587,2500031,4038
911065,7969,6957193,323358
942787,18,6656897,885381
70379,4,547465,15563
616935,85822,4744225,105433
250283,115,1955281,46868
21338,3538,165608,1558
340507,80060,2601781,42215
234795,52974,1815512,9874
314027,166,2492278,19772
645610,74140,4888064,202676
870690,36,6242494,722990
358331,72907,2772905,20836
312128,421,2483037,13566
148535,10105,1147571,30604
644015,140286,4917419,94415
654735,6868,5220660,10352
78982,21250,592211,18395
287007,2161,2285776,8119
52879,4,370153,52875
167257,8526,1284884,44646
829940,67,6639416,37
237722,30731,1840660,30385
544072,18956,4226463,107157
944926,173066,7199368,186974
143139,59578,1077033,8501
136640,28401,1041756,22963
601697,212857,4488739,111980
711747,4972,5406351,282653
794808,104594,6039540,214330
776304,103113,5901292,206027
857734,207334,6549764,104774
717881,34584,5665392,43072
30894,3116,239933,4103
876473,270948,6534314,206522
39127,718,303864,8434
608113,2551,4853230,9123
693809,136531,5240867,173074
164908,4531,1251882,62851
562279,15714,4272864,209654
805609,60988,6145383,238501
18430,10,147364,66
410239,86500,3186801,8611
808224,71590,6272521,121681
944118,262061,7182815,108068
759786,91795,5902201,84292
746111,149,5891662,77077
418613,7737,3340743,424
805385,4,6265510,177566
765743,2701,5774947,348296
963824,668588,6746768,295236
58359,1,422748,44123
233926,9594,1809722,52092
42802,7448,319568,15400
855878,239,6846784,1
531916,123304,4077348,54676
862540,14283,6610003,276034
521999,34268,4048958,92766
82404,25129,632619,1484
929089,274834,7092995,64883
858369,148821,6668047,50084
814334,5830,6499165,9677
45941,4833,345204,17491
927303,167533,7051272,199619
55759,12855,430949,2268
314033,50516,2429333,32415
315409,9,2514735,8528
27182,3921,207830,5705
511729,6111,3975209,112512
712757,4485,5685909,11662
782266,183,6245568,12377
175222,66166,1328126,7484
261208,48050,1989698,51916
927026,80998,7191210,144000
479269,106769,3723005,4378
